seed,cutoff_rule,metric,difference_shared_minus_joint,ci_low,ci_high,bootstrap_samples
42,maximum_tuning_f1,auprc,0.08691099685071957,0.004436342009823783,0.1552676798951215,2000
42,maximum_tuning_f1,auroc,0.04034090909090904,0.012500000000000063,0.07140625000000009,2000
42,maximum_tuning_f1,recall,-0.09999999999999998,-0.20000000000000007,0.0,2000
42,maximum_tuning_f1,specificity,0.03409090909090895,0.006818181818181834,0.0613636363636364,2000
42,maximum_tuning_f1,balanced_accuracy,-0.03295454545454546,-0.08750000000000013,0.01592803030303038,2000
42,maximum_tuning_f1,brier,-0.007539887304497672,-0.015793364504061068,0.0006444444013086314,2000
42,maximum_tuning_f1,calibration_error,-0.007339485627200021,-0.026450697759729976,0.010693832381574984,2000
42,target_90pct_tuning_specificity,auprc,0.08691099685071957,0.0076740060608572695,0.15603300896191835,2000
42,target_90pct_tuning_specificity,auroc,0.04034090909090904,0.01382102272727292,0.07046875000000001,2000
42,target_90pct_tuning_specificity,recall,0.08333333333333326,-0.01666666666666672,0.18333333333333335,2000
42,target_90pct_tuning_specificity,specificity,0.011363636363636465,-0.009090909090909038,0.031818181818181746,2000
42,target_90pct_tuning_specificity,balanced_accuracy,0.04734848484848475,-0.0015340909090908617,0.09962121212121211,2000
42,target_90pct_tuning_specificity,brier,-0.007539887304497672,-0.014908253506164945,3.234604204307157e-05,2000
42,target_90pct_tuning_specificity,calibration_error,-0.007339485627200021,-0.025025583367125015,0.010635152760675016,2000
2026,maximum_tuning_f1,auprc,0.07477511544973398,-0.007795010009488673,0.14143913600432073,2000
2026,maximum_tuning_f1,auroc,0.0058712121212121104,-0.026893939393939473,0.03674715909090917,2000
2026,maximum_tuning_f1,recall,0.15000000000000002,0.016666666666666607,0.2833333333333332,2000
2026,maximum_tuning_f1,specificity,-0.03409090909090906,-0.059090909090909194,-0.011363636363636354,2000
2026,maximum_tuning_f1,balanced_accuracy,0.05795454545454548,-0.00947916666666649,0.12234848484848482,2000
2026,maximum_tuning_f1,brier,0.0002641819839768189,-0.007478171563923942,0.008279896834468847,2000
2026,maximum_tuning_f1,calibration_error,0.019597758224000006,-0.0011034806282499822,0.03312624177320001,2000
2026,target_90pct_tuning_specificity,auprc,0.07477511544973398,-0.0012117504170578242,0.1423597185382876,2000
2026,target_90pct_tuning_specificity,auroc,0.0058712121212121104,-0.02709280303030304,0.037121212121212,2000
2026,target_90pct_tuning_specificity,recall,0.09999999999999998,0.0,0.20000000000000007,2000
2026,target_90pct_tuning_specificity,specificity,-0.004545454545454519,-0.02727272727272734,0.018181818181818302,2000
2026,target_90pct_tuning_specificity,balanced_accuracy,0.04772727272727262,-0.006079545454545487,0.1034090909090909,2000
2026,target_90pct_tuning_specificity,brier,0.0002641819839768189,-0.007367792207918956,0.0076449579616697265,2000
2026,target_90pct_tuning_specificity,calibration_error,0.019597758224000006,-0.0023934060316999875,0.034060722754349994,2000
