scoring_fold,tuning_fold,measure,low_boundary,high_boundary,boundary_patients
0,1,mean_baseline_drift_rms_ratio,0.28802507504946,0.38125519972835287,300
0,1,mean_high_frequency_rms_ratio,0.01261189075826713,0.01834714445494533,300
1,2,mean_baseline_drift_rms_ratio,0.2861333104101874,0.3860943785526179,300
1,2,mean_high_frequency_rms_ratio,0.012121801620144364,0.017384105676643568,300
2,3,mean_baseline_drift_rms_ratio,0.28888514658519887,0.38445691854065744,300
2,3,mean_high_frequency_rms_ratio,0.012817406259159898,0.018397375888556933,300
3,4,mean_baseline_drift_rms_ratio,0.2856687913731632,0.38257301322000087,300
3,4,mean_high_frequency_rms_ratio,0.012876764402937967,0.0187133043319796,300
4,0,mean_baseline_drift_rms_ratio,0.28942298536076205,0.3795257202141943,300
4,0,mean_high_frequency_rms_ratio,0.0126655349419902,0.018456791266637764,300
