Seed,Cutoff_Rule,Architecture,Fold,Quality_Measure,Quality_Group,patients,hfref_patients,non_hfref_patients,recall,specificity,tp,fn,tn,fp
42,maximum_tuning_f1,joint_4ch,0,beat_detection_check,all_sites_passed,100,12,88,0.6666666666666666,0.875,8,4,77,11
42,maximum_tuning_f1,joint_4ch,0,mean_baseline_drift_rms_ratio,high,37,2,35,0.5,0.9142857142857143,1,1,32,3
42,maximum_tuning_f1,joint_4ch,0,mean_baseline_drift_rms_ratio,low,35,7,28,0.5714285714285714,0.8214285714285714,4,3,23,5
42,maximum_tuning_f1,joint_4ch,0,mean_baseline_drift_rms_ratio,middle,28,3,25,1.0,0.88,3,0,22,3
42,maximum_tuning_f1,joint_4ch,0,mean_high_frequency_rms_ratio,high,33,2,31,1.0,0.8709677419354839,2,0,27,4
42,maximum_tuning_f1,joint_4ch,0,mean_high_frequency_rms_ratio,low,37,6,31,0.8333333333333334,0.8064516129032258,5,1,25,6
42,maximum_tuning_f1,joint_4ch,0,mean_high_frequency_rms_ratio,middle,30,4,26,0.25,0.9615384615384616,1,3,25,1
42,maximum_tuning_f1,joint_4ch,1,beat_detection_check,all_sites_passed,100,12,88,0.5,0.9886363636363636,6,6,87,1
42,maximum_tuning_f1,joint_4ch,1,mean_baseline_drift_rms_ratio,high,29,1,28,0.0,0.9642857142857143,0,1,27,1
42,maximum_tuning_f1,joint_4ch,1,mean_baseline_drift_rms_ratio,low,32,7,25,0.42857142857142855,1.0,3,4,25,0
42,maximum_tuning_f1,joint_4ch,1,mean_baseline_drift_rms_ratio,middle,39,4,35,0.75,1.0,3,1,35,0
42,maximum_tuning_f1,joint_4ch,1,mean_high_frequency_rms_ratio,high,37,6,31,0.6666666666666666,1.0,4,2,31,0
42,maximum_tuning_f1,joint_4ch,1,mean_high_frequency_rms_ratio,low,27,5,22,0.4,1.0,2,3,22,0
42,maximum_tuning_f1,joint_4ch,1,mean_high_frequency_rms_ratio,middle,36,1,35,0.0,0.9714285714285714,0,1,34,1
42,maximum_tuning_f1,joint_4ch,2,beat_detection_check,all_sites_passed,98,11,87,0.5454545454545454,0.8850574712643678,6,5,77,10
