Seed,Cutoff_Rule,Architecture,Quality_Measure,Quality_Group,patients,hfref_patients,non_hfref_patients,recall,specificity,tp,fn,tn,fp
42,maximum_tuning_f1,joint_4ch,beat_detection_check,all_sites_passed,497,59,438,0.6949152542372882,0.8858447488584474,41,18,388,50
42,maximum_tuning_f1,joint_4ch,beat_detection_check,one_or_more_failed,3,1,2,1.0,1.0,1,0,2,0
42,maximum_tuning_f1,joint_4ch,mean_baseline_drift_rms_ratio,high,167,13,154,0.5384615384615384,0.922077922077922,7,6,142,12
42,maximum_tuning_f1,joint_4ch,mean_baseline_drift_rms_ratio,low,167,28,139,0.7142857142857143,0.8489208633093526,20,8,118,21
42,maximum_tuning_f1,joint_4ch,mean_baseline_drift_rms_ratio,middle,166,19,147,0.7894736842105263,0.8843537414965986,15,4,130,17
42,maximum_tuning_f1,joint_4ch,mean_high_frequency_rms_ratio,high,168,18,150,0.7777777777777778,0.92,14,4,138,12
42,maximum_tuning_f1,joint_4ch,mean_high_frequency_rms_ratio,low,168,35,133,0.7142857142857143,0.8270676691729323,25,10,110,23
42,maximum_tuning_f1,joint_4ch,mean_high_frequency_rms_ratio,middle,164,7,157,0.42857142857142855,0.9044585987261147,3,4,142,15
42,maximum_tuning_f1,shared_site,beat_detection_check,all_sites_passed,497,59,438,0.6101694915254238,0.9200913242009132,36,23,403,35
42,maximum_tuning_f1,shared_site,beat_detection_check,one_or_more_failed,3,1,2,0.0,1.0,0,1,2,0
42,maximum_tuning_f1,shared_site,mean_baseline_drift_rms_ratio,high,167,13,154,0.46153846153846156,0.935064935064935,6,7,144,10
42,maximum_tuning_f1,shared_site,mean_baseline_drift_rms_ratio,low,167,28,139,0.5714285714285714,0.8992805755395683,16,12,125,14
42,maximum_tuning_f1,shared_site,mean_baseline_drift_rms_ratio,middle,166,19,147,0.7368421052631579,0.9251700680272109,14,5,136,11
42,maximum_tuning_f1,shared_site,mean_high_frequency_rms_ratio,high,168,18,150,0.5555555555555556,0.9533333333333334,10,8,143,7
42,maximum_tuning_f1,shared_site,mean_high_frequency_rms_ratio,low,168,35,133,0.6571428571428571,0.8571428571428571,23,12,114,19
42,maximum_tuning_f1,shared_site,mean_high_frequency_rms_ratio,middle,164,7,157,0.42857142857142855,0.9426751592356688,3,4,148,9
42,target_90pct_tuning_specificity,joint_4ch,beat_detection_check,all_sites_passed,497,59,438,0.6271186440677966,0.8904109589041096,37,22,390,48
42,target_90pct_tuning_specificity,joint_4ch,beat_detection_check,one_or_more_failed,3,1,2,1.0,1.0,1,0,2,0
42,target_90pct_tuning_specificity,joint_4ch,mean_baseline_drift_rms_ratio,high,167,13,154,0.46153846153846156,0.9090909090909091,6,7,140,14
42,target_90pct_tuning_specificity,joint_4ch,mean_baseline_drift_rms_ratio,low,167,28,139,0.6071428571428571,0.8705035971223022,17,11,121,18
42,target_90pct_tuning_specificity,joint_4ch,mean_baseline_drift_rms_ratio,middle,166,19,147,0.7894736842105263,0.891156462585034,15,4,131,16
42,target_90pct_tuning_specificity,joint_4ch,mean_high_frequency_rms_ratio,high,168,18,150,0.6666666666666666,0.9133333333333333,12,6,137,13
42,target_90pct_tuning_specificity,joint_4ch,mean_high_frequency_rms_ratio,low,168,35,133,0.6571428571428571,0.8120300751879699,23,12,108,25
42,target_90pct_tuning_specificity,joint_4ch,mean_high_frequency_rms_ratio,middle,164,7,157,0.42857142857142855,0.9363057324840764,3,4,147,10
42,target_90pct_tuning_specificity,shared_site,beat_detection_check,all_sites_passed,497,59,438,0.7288135593220338,0.9018264840182648,43,16,395,43
42,target_90pct_tuning_specificity,shared_site,beat_detection_check,one_or_more_failed,3,1,2,0.0,1.0,0,1,2,0
42,target_90pct_tuning_specificity,shared_site,mean_baseline_drift_rms_ratio,high,167,13,154,0.5384615384615384,0.9155844155844156,7,6,141,13
42,target_90pct_tuning_specificity,shared_site,mean_baseline_drift_rms_ratio,low,167,28,139,0.75,0.8848920863309353,21,7,123,16
42,target_90pct_tuning_specificity,shared_site,mean_baseline_drift_rms_ratio,middle,166,19,147,0.7894736842105263,0.9047619047619048,15,4,133,14
