Seed,Cutoff_Rule,Architecture,Quality_Measure,Quality_Group,patients,hfref_patients,non_hfref_patients,recall,specificity,tp,fn,tn,fp
42,maximum_tuning_f1,joint_4ch,beat_detection_check,all_sites_passed,497,59,438,0.6779661016949152,0.8789954337899544,40,19,385,53
42,maximum_tuning_f1,joint_4ch,beat_detection_check,one_or_more_failed,3,1,2,0.0,1.0,0,1,2,0
42,maximum_tuning_f1,joint_4ch,mean_baseline_drift_rms_ratio,high,167,13,154,0.5384615384615384,0.8701298701298701,7,6,134,20
42,maximum_tuning_f1,joint_4ch,mean_baseline_drift_rms_ratio,low,167,28,139,0.6428571428571429,0.8705035971223022,18,10,121,18
42,maximum_tuning_f1,joint_4ch,mean_baseline_drift_rms_ratio,middle,166,19,147,0.7894736842105263,0.8979591836734694,15,4,132,15
42,maximum_tuning_f1,joint_4ch,mean_high_frequency_rms_ratio,high,168,18,150,0.6666666666666666,0.9,12,6,135,15
42,maximum_tuning_f1,joint_4ch,mean_high_frequency_rms_ratio,low,168,35,133,0.7142857142857143,0.7819548872180451,25,10,104,29
42,maximum_tuning_f1,joint_4ch,mean_high_frequency_rms_ratio,middle,164,7,157,0.42857142857142855,0.9426751592356688,3,4,148,9
42,maximum_tuning_f1,shared_site,beat_detection_check,all_sites_passed,497,59,438,0.711864406779661,0.860730593607306,42,17,377,61
42,maximum_tuning_f1,shared_site,beat_detection_check,one_or_more_failed,3,1,2,0.0,0.5,0,1,1,1
42,maximum_tuning_f1,shared_site,mean_baseline_drift_rms_ratio,high,167,13,154,0.5384615384615384,0.8766233766233766,7,6,135,19
42,maximum_tuning_f1,shared_site,mean_baseline_drift_rms_ratio,low,167,28,139,0.7142857142857143,0.841726618705036,20,8,117,22
42,maximum_tuning_f1,shared_site,mean_baseline_drift_rms_ratio,middle,166,19,147,0.7894736842105263,0.8571428571428571,15,4,126,21
42,maximum_tuning_f1,shared_site,mean_high_frequency_rms_ratio,high,168,18,150,0.6666666666666666,0.88,12,6,132,18
42,maximum_tuning_f1,shared_site,mean_high_frequency_rms_ratio,low,168,35,133,0.8,0.7593984962406015,28,7,101,32
42,maximum_tuning_f1,shared_site,mean_high_frequency_rms_ratio,middle,164,7,157,0.2857142857142857,0.9235668789808917,2,5,145,12
42,target_90pct_tuning_specificity,joint_4ch,beat_detection_check,all_sites_passed,497,59,438,0.6610169491525424,0.8858447488584474,39,20,388,50
42,target_90pct_tuning_specificity,joint_4ch,beat_detection_check,one_or_more_failed,3,1,2,0.0,1.0,0,1,2,0
42,target_90pct_tuning_specificity,joint_4ch,mean_baseline_drift_rms_ratio,high,167,13,154,0.5384615384615384,0.8961038961038961,7,6,138,16
42,target_90pct_tuning_specificity,joint_4ch,mean_baseline_drift_rms_ratio,low,167,28,139,0.6071428571428571,0.8561151079136691,17,11,119,20
42,target_90pct_tuning_specificity,joint_4ch,mean_baseline_drift_rms_ratio,middle,166,19,147,0.7894736842105263,0.9047619047619048,15,4,133,14
42,target_90pct_tuning_specificity,joint_4ch,mean_high_frequency_rms_ratio,high,168,18,150,0.6666666666666666,0.9133333333333333,12,6,137,13
42,target_90pct_tuning_specificity,joint_4ch,mean_high_frequency_rms_ratio,low,168,35,133,0.6857142857142857,0.8120300751879699,24,11,108,25
42,target_90pct_tuning_specificity,joint_4ch,mean_high_frequency_rms_ratio,middle,164,7,157,0.42857142857142855,0.9235668789808917,3,4,145,12
42,target_90pct_tuning_specificity,shared_site,beat_detection_check,all_sites_passed,497,59,438,0.6779661016949152,0.9018264840182648,40,19,395,43
42,target_90pct_tuning_specificity,shared_site,beat_detection_check,one_or_more_failed,3,1,2,0.0,0.5,0,1,1,1
42,target_90pct_tuning_specificity,shared_site,mean_baseline_drift_rms_ratio,high,167,13,154,0.5384615384615384,0.9155844155844156,7,6,141,13
42,target_90pct_tuning_specificity,shared_site,mean_baseline_drift_rms_ratio,low,167,28,139,0.6428571428571429,0.8848920863309353,18,10,123,16
42,target_90pct_tuning_specificity,shared_site,mean_baseline_drift_rms_ratio,middle,166,19,147,0.7894736842105263,0.8979591836734694,15,4,132,15
42,target_90pct_tuning_specificity,shared_site,mean_high_frequency_rms_ratio,high,168,18,150,0.6111111111111112,0.9066666666666666,11,7,136,14
42,target_90pct_tuning_specificity,shared_site,mean_high_frequency_rms_ratio,low,168,35,133,0.7714285714285715,0.8045112781954887,27,8,107,26
42,target_90pct_tuning_specificity,shared_site,mean_high_frequency_rms_ratio,middle,164,7,157,0.2857142857142857,0.9745222929936306,2,5,153,4
2026,maximum_tuning_f1,joint_4ch,beat_detection_check,all_sites_passed,497,59,438,0.7796610169491526,0.8835616438356164,46,13,387,51
2026,maximum_tuning_f1,joint_4ch,beat_detection_check,one_or_more_failed,3,1,2,1.0,1.0,1,0,2,0
2026,maximum_tuning_f1,joint_4ch,mean_baseline_drift_rms_ratio,high,167,13,154,0.6923076923076923,0.9155844155844156,9,4,141,13
2026,maximum_tuning_f1,joint_4ch,mean_baseline_drift_rms_ratio,low,167,28,139,0.7857142857142857,0.8489208633093526,22,6,118,21
2026,maximum_tuning_f1,joint_4ch,mean_baseline_drift_rms_ratio,middle,166,19,147,0.8421052631578947,0.8843537414965986,16,3,130,17
2026,maximum_tuning_f1,joint_4ch,mean_high_frequency_rms_ratio,high,168,18,150,0.8333333333333334,0.9333333333333333,15,3,140,10
2026,maximum_tuning_f1,joint_4ch,mean_high_frequency_rms_ratio,low,168,35,133,0.7714285714285715,0.8195488721804511,27,8,109,24
2026,maximum_tuning_f1,joint_4ch,mean_high_frequency_rms_ratio,middle,164,7,157,0.7142857142857143,0.89171974522293,5,2,140,17
2026,maximum_tuning_f1,shared_site,beat_detection_check,all_sites_passed,497,59,438,0.7796610169491526,0.8493150684931506,46,13,372,66
2026,maximum_tuning_f1,shared_site,beat_detection_check,one_or_more_failed,3,1,2,0.0,1.0,0,1,2,0
2026,maximum_tuning_f1,shared_site,mean_baseline_drift_rms_ratio,high,167,13,154,0.5384615384615384,0.8571428571428571,7,6,132,22
2026,maximum_tuning_f1,shared_site,mean_baseline_drift_rms_ratio,low,167,28,139,0.7857142857142857,0.8129496402877698,22,6,113,26
