seed,architecture,patient_group,measure,patients,spearman_rho,p_value_descriptive_only
42,joint_4ch,non-HFrEF,mean_estimated_heart_rate_bpm,440,-0.034141094830974425,0.47502887532246885
42,joint_4ch,non-HFrEF,mean_baseline_drift_rms_ratio,440,-0.06237907877998993,0.19154417838269325
42,joint_4ch,non-HFrEF,mean_high_frequency_rms_ratio,440,-0.1332427524747733,0.005118728044516622
42,joint_4ch,non-HFrEF,mean_full_scale_sample_fraction,440,0.007044921919373115,0.8828502511880282
42,joint_4ch,non-HFrEF,mean_longest_constant_run_s,440,-0.13863136764767578,0.0035709783529531422
42,joint_4ch,non-HFrEF,failed_site_count,440,0.06304278073886141,0.18685235762018912
42,joint_4ch,non-HFrEF,quality_flag_site_count,440,0.007805162779221054,0.8703143307536491
42,joint_4ch,HFrEF,mean_estimated_heart_rate_bpm,60,0.19438732981383722,0.13667688127381664
42,joint_4ch,HFrEF,mean_baseline_drift_rms_ratio,60,0.09102528480133372,0.48913532156307493
42,joint_4ch,HFrEF,mean_high_frequency_rms_ratio,60,-0.048457904973603784,0.7131166999542675
42,joint_4ch,HFrEF,mean_full_scale_sample_fraction,60,0.2029955011975299,0.11981174980773437
42,joint_4ch,HFrEF,mean_longest_constant_run_s,60,-0.30430390393486323,0.018083475075137974
42,joint_4ch,HFrEF,failed_site_count,60,-0.0864513011794331,0.5113137064664217
42,joint_4ch,HFrEF,quality_flag_site_count,60,0.19636046183617217,0.1326618972091053
42,joint_4ch,all,mean_estimated_heart_rate_bpm,500,0.011418093672374688,0.7989659293867816
42,joint_4ch,all,mean_baseline_drift_rms_ratio,500,-0.10383430333721336,0.020218149458125143
42,joint_4ch,all,mean_high_frequency_rms_ratio,500,-0.1657797031188125,0.00019650775675697518
42,joint_4ch,all,mean_full_scale_sample_fraction,500,0.11803049495814648,0.008244805644954115
42,joint_4ch,all,mean_longest_constant_run_s,500,-0.19819721074316582,8.00304687898203e-06
42,joint_4ch,all,failed_site_count,500,0.06611806844826534,0.13984715921896335
42,joint_4ch,all,quality_flag_site_count,500,0.11907040889910449,0.007691523344236923
42,shared_site,non-HFrEF,mean_estimated_heart_rate_bpm,440,-0.03569942369161373,0.4550965299383034
42,shared_site,non-HFrEF,mean_baseline_drift_rms_ratio,440,0.016473742116436547,0.7303977101580641
42,shared_site,non-HFrEF,mean_high_frequency_rms_ratio,440,-0.2624865643088877,2.2891745257953027e-08
42,shared_site,non-HFrEF,mean_full_scale_sample_fraction,440,-0.002789286973353231,0.9534760098923598
42,shared_site,non-HFrEF,mean_longest_constant_run_s,440,-0.1381817040193567,0.0036816612168941777
42,shared_site,non-HFrEF,failed_site_count,440,0.0973572056979885,0.04122856886431628
42,shared_site,non-HFrEF,quality_flag_site_count,440,-0.0022468770480345243,0.9625157142312848
42,shared_site,HFrEF,mean_estimated_heart_rate_bpm,60,0.18299527646568495,0.16166109489457156
42,shared_site,HFrEF,mean_baseline_drift_rms_ratio,60,-0.034398444012225624,0.79415314553409
42,shared_site,HFrEF,mean_high_frequency_rms_ratio,60,-0.23956654626285084,0.06524360516163663
42,shared_site,HFrEF,mean_full_scale_sample_fraction,60,0.13448264965112705,0.30562381231441726
42,shared_site,HFrEF,mean_longest_constant_run_s,60,-0.09846362849066727,0.45417462597730673
42,shared_site,HFrEF,failed_site_count,60,-0.14659133678251698,0.263713937342164
42,shared_site,HFrEF,quality_flag_site_count,60,0.1334051992627429,0.3095505510824362
