patients,hfref_patients,threshold,auprc,auroc,recall,specificity,balanced_accuracy,precision,f1,brier,log_loss,calibration_error,tn,fp,fn,tp,feature_group,seed,train_folds,tuning_fold,scoring_fold,feature_count
100,12,0.5231394128814233,0.17489967910268514,0.6695075757575757,0.5833333333333334,0.7272727272727273,0.6553030303030303,0.22580645161290322,0.32558139534883723,0.23787421354122987,0.6703436907009745,0.3609274952379564,64,24,5,7,heart_rate_only,42,"[2, 3, 4]",1,0,4
100,12,0.6552535250164265,0.5081674771725966,0.7973484848484849,0.6666666666666666,0.8977272727272727,0.7821969696969697,0.47058823529411764,0.5517241379310345,0.17885361912696346,0.5339969592014513,0.2861230782488102,79,9,4,8,quality_only,42,"[2, 3, 4]",1,0,24
100,12,0.7250138744172143,0.5105370919034359,0.805871212121212,0.5,0.9090909090909091,0.7045454545454546,0.42857142857142855,0.46153846153846156,0.17549026183949837,0.5195208641347238,0.26974957175658654,80,8,6,6,heart_rate_and_quality,42,"[2, 3, 4]",1,0,28
100,12,0.5245129062457055,0.20325541589183665,0.7007575757575757,0.5833333333333334,0.7272727272727273,0.6553030303030303,0.22580645161290322,0.32558139534883723,0.23386950397223427,0.6657295721278966,0.35769874824340503,64,24,5,7,heart_rate_only,42,"[0, 3, 4]",2,1,4
100,12,0.7309448192423447,0.42710150299436006,0.7263257575757576,0.3333333333333333,0.9659090909090909,0.6496212121212122,0.5714285714285714,0.42105263157894735,0.20526005533342778,0.6264766770437608,0.31316662790446853,85,3,8,4,quality_only,42,"[0, 3, 4]",2,1,24
100,12,0.7491203466027692,0.4074358018708181,0.7566287878787878,0.4166666666666667,0.9204545454545454,0.6685606060606061,0.4166666666666667,0.4166666666666667,0.2031528862248046,0.6248058906525356,0.28630199936645817,81,7,7,5,heart_rate_and_quality,42,"[0, 3, 4]",2,1,28
100,12,0.5578559251654397,0.18534357273096208,0.5823863636363635,0.4166666666666667,0.8181818181818182,0.6174242424242424,0.23809523809523808,0.30303030303030304,0.2129201394289155,0.6132936943585257,0.30454390105192347,72,16,7,5,heart_rate_only,42,"[0, 1, 4]",3,2,4
100,12,0.6268451344709335,0.3015285155327107,0.7026515151515152,0.5,0.8181818181818182,0.6590909090909092,0.2727272727272727,0.35294117647058826,0.2131447021289607,0.6271523792503488,0.3172077752070383,72,16,6,6,quality_only,42,"[0, 1, 4]",3,2,24
100,12,0.6697330868259503,0.4275243188213113,0.740530303030303,0.4166666666666667,0.9090909090909091,0.6628787878787878,0.38461538461538464,0.4,0.16891287328854093,0.5239729006803091,0.2373838284432315,80,8,7,5,heart_rate_and_quality,42,"[0, 1, 4]",3,2,28
100,12,0.5675460191398838,0.23183284436628687,0.5653409090909092,0.25,0.7386363636363636,0.4943181818181818,0.11538461538461539,0.15789473684210525,0.2610669226384712,0.7197360173598484,0.37397464153568805,65,23,9,3,heart_rate_only,42,"[0, 1, 2]",4,3,4
100,12,0.6475704253433262,0.5078001656388521,0.7604166666666665,0.6666666666666666,0.8977272727272727,0.7821969696969697,0.47058823529411764,0.5517241379310345,0.16881228377809504,0.5453095380346134,0.24375999223008082,79,9,4,8,quality_only,42,"[0, 1, 2]",4,3,24
100,12,0.6276554358793198,0.44567190302235066,0.7717803030303031,0.5,0.8636363636363636,0.6818181818181819,0.3333333333333333,0.4,0.18102320297567803,0.5831716735352556,0.2712595885526168,76,12,6,6,heart_rate_and_quality,42,"[0, 1, 2]",4,3,28
100,12,0.5042724134117491,0.236618916255507,0.6837121212121212,0.5833333333333334,0.6477272727272727,0.615530303030303,0.18421052631578946,0.28,0.2357214699588179,0.6647547758684648,0.36418463282149616,57,31,5,7,heart_rate_only,42,"[1, 2, 3]",0,4,4
100,12,0.6492625528544146,0.1699336142949372,0.4914772727272727,0.16666666666666666,0.8863636363636364,0.5265151515151515,0.16666666666666666,0.16666666666666666,0.20899418761687977,0.6047498857133765,0.24629241243205913,78,10,10,2,quality_only,42,"[1, 2, 3]",0,4,24
100,12,0.6801685803282389,0.230582581127115,0.5662878787878787,0.16666666666666666,0.875,0.5208333333333334,0.15384615384615385,0.16,0.20388482636457742,0.5834631611814356,0.24794474907562233,77,11,10,2,heart_rate_and_quality,42,"[1, 2, 3]",0,4,28
