patients,hfref_patients,threshold,auprc,auroc,recall,specificity,balanced_accuracy,precision,f1,brier,log_loss,calibration_error,tn,fp,fn,tp,architecture,seed,train_folds,tuning_fold,scoring_fold,train_patients,tuning_patients,scoring_patients,best_epoch,epochs_run,best_tuning_auroc,tuning_auprc,tuning_auroc,tuning_f1,parameter_count,training_seconds,checkpoint_bytes,device,batch_size,focal_alpha,focal_gamma,learning_rate,weight_decay,max_epochs,patience,site_order,training_crop,tuning_and_scoring_input,shape_check_mode
100,12,0.6445944607257843,0.3840772812755572,0.8806818181818181,0.4166666666666667,0.9204545454545454,0.6685606060606061,0.4166666666666667,0.4166666666666667,0.11162846553252788,0.3556744788272703,0.15644947320222855,81,7,7,5,joint_4ch,2026,"[2, 3, 4]",1,0,300,100,100,15,25,0.8560606060606061,0.5507596858449586,0.8560606060606061,0.5714285714285714,522433,38.377584300003946,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,full_30s,evaluation_without_gradients
100,12,0.3700573891401291,0.4589545870795871,0.8901515151515151,0.9166666666666666,0.8068181818181818,0.8617424242424242,0.39285714285714285,0.55,0.11270817768457593,0.3876279413153049,0.19013112768530846,71,17,1,11,shared_site,2026,"[2, 3, 4]",1,0,300,100,100,3,13,0.8901515151515151,0.6405649576937772,0.8901515151515151,0.6285714285714286,521377,44.96211449999828,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,full_30s,evaluation_without_gradients
100,12,0.457794189453125,0.5644502689712305,0.8532196969696969,0.3333333333333333,0.9545454545454546,0.6439393939393939,0.5,0.4,0.08905959881128232,0.31448496273484144,0.10892168391495942,84,4,8,4,joint_4ch,2026,"[0, 3, 4]",2,1,300,100,100,5,15,0.8721590909090909,0.5246790855343487,0.8721590909090909,0.5833333333333334,522433,22.39916439999797,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,full_30s,evaluation_without_gradients
100,12,0.43905751407146454,0.6315960690496295,0.868371212121212,0.6666666666666666,0.8977272727272727,0.7821969696969697,0.47058823529411764,0.5517241379310345,0.10149692310333595,0.3485842967382065,0.16797706443816424,79,9,4,8,shared_site,2026,"[0, 3, 4]",2,1,300,100,100,7,17,0.9005681818181818,0.5026455026455027,0.9005681818181818,0.6060606060606061,521377,59.58343500000046,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,full_30s,evaluation_without_gradients
100,12,0.5667181313037872,0.47807613682613675,0.8380681818181819,0.5833333333333334,0.9318181818181818,0.7575757575757576,0.5384615384615384,0.56,0.12858629516916242,0.4257103315153345,0.2099606651067734,82,6,5,7,joint_4ch,2026,"[0, 1, 4]",3,2,300,100,100,6,16,0.8882575757575757,0.5494145659855846,0.8882575757575757,0.5517241379310345,522433,23.642034599994076,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,full_30s,evaluation_without_gradients
100,12,0.6163148581981659,0.4685008778086253,0.8390151515151515,0.3333333333333333,0.9545454545454546,0.6439393939393939,0.5,0.4,0.13605977957020157,0.4445426353334599,0.2256344997882843,84,4,8,4,shared_site,2026,"[0, 1, 4]",3,2,300,100,100,3,13,0.8892045454545454,0.4683491277241278,0.8892045454545454,0.6428571428571429,521377,45.2048117000013,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,full_30s,evaluation_without_gradients
100,12,0.5123755931854248,0.4664057478059693,0.9024621212121212,0.6666666666666666,0.875,0.7708333333333333,0.42105263157894735,0.5161290322580645,0.11478907340310181,0.3775963187143427,0.1825860132277012,77,11,4,8,joint_4ch,2026,"[0, 1, 2]",4,3,300,100,100,16,26,0.9365530303030303,0.6508130350042116,0.9365530303030303,0.6666666666666666,522433,38.60508800000389,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,full_30s,evaluation_without_gradients
100,12,0.5682029128074646,0.6047778167459019,0.9138257575757576,0.9166666666666666,0.8295454545454546,0.8731060606060606,0.4230769230769231,0.5789473684210527,0.16118534541464505,0.4934660512420182,0.28337460309267043,73,15,1,11,shared_site,2026,"[0, 1, 2]",4,3,300,100,100,4,14,0.9356060606060606,0.641827147525677,0.9356060606060606,0.6896551724137931,521377,48.936149200002546,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,full_30s,evaluation_without_gradients
100,12,0.6792895197868347,0.5190302387670809,0.9242424242424243,0.6666666666666666,0.9090909090909091,0.7878787878787878,0.5,0.5714285714285714,0.18722361942920138,0.5609393591890222,0.33260178819298736,80,8,4,8,joint_4ch,2026,"[1, 2, 3]",0,4,300,100,100,9,19,0.9015151515151515,0.5239217847737118,0.9015151515151515,0.6,522433,28.219125600000552,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,full_30s,evaluation_without_gradients
100,12,0.6449005305767059,0.6220859002109003,0.9166666666666666,0.5833333333333334,0.9318181818181818,0.7575757575757576,0.5384615384615384,0.56,0.12115773782882791,0.4016741579116127,0.22139111895114183,82,6,5,7,shared_site,2026,"[1, 2, 3]",0,4,300,100,100,8,18,0.9375,0.6189333814333815,0.9375,0.7142857142857143,521377,62.96979009999632,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,full_30s,evaluation_without_gradients
