patients,hfref_patients,threshold,auprc,auroc,recall,specificity,balanced_accuracy,precision,f1,brier,log_loss,calibration_error,tn,fp,fn,tp,architecture,seed,train_folds,tuning_fold,scoring_fold,train_patients,tuning_patients,scoring_patients,best_epoch,epochs_run,best_tuning_auroc,tuning_auprc,tuning_auroc,tuning_f1,parameter_count,training_seconds,checkpoint_bytes,device,batch_size,focal_alpha,focal_gamma,learning_rate,weight_decay,max_epochs,patience,site_order
100,12,0.26613549888134,0.4375888502049493,0.887310606060606,0.8333333333333334,0.8636363636363636,0.8484848484848485,0.45454545454545453,0.5882352941176471,0.08663709609693923,0.2990624604581455,0.12070867568254473,76,12,2,10,joint_4ch,2026,"[2, 3, 4]",1,0,300,100,100,3,13,0.9005681818181819,0.5467811872223637,0.9005681818181819,0.6206896551724138,522433,19.996173700004874,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.41895316541194916,0.4463704130373896,0.8835227272727273,0.75,0.8522727272727273,0.8011363636363636,0.4090909090909091,0.5294117647058824,0.11080251209908443,0.37376646295176535,0.1773715118318796,75,13,3,9,shared_site,2026,"[2, 3, 4]",1,0,300,100,100,3,13,0.8740530303030303,0.6267939963955645,0.8740530303030303,0.625,521377,45.179891300002055,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.4031975418329239,0.6499831341250748,0.8806818181818181,0.6666666666666666,0.9318181818181818,0.7992424242424242,0.5714285714285714,0.6153846153846154,0.08314231638228159,0.30634611559133285,0.1327834138274193,82,6,4,8,joint_4ch,2026,"[0, 3, 4]",2,1,300,100,100,7,17,0.8645833333333334,0.5255684657583392,0.8645833333333334,0.64,522433,27.475400800001808,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.2953457534313202,0.7377110476748159,0.9024621212121212,0.9166666666666666,0.7954545454545454,0.856060606060606,0.3793103448275862,0.5365853658536586,0.08360277232570885,0.29611281013681917,0.12623106943443418,70,18,1,11,shared_site,2026,"[0, 3, 4]",2,1,300,100,100,7,17,0.9109848484848485,0.5733876145640852,0.9109848484848485,0.5789473684210527,521377,60.55520709999837,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.26741360127925873,0.508446128961003,0.8399621212121212,0.5833333333333334,0.8977272727272727,0.740530303030303,0.4375,0.5,0.08192638308481881,0.2755198594010162,0.02649748533032835,79,9,5,7,joint_4ch,2026,"[0, 1, 4]",3,2,300,100,100,5,15,0.90625,0.5408980110067066,0.90625,0.6285714285714286,522433,23.04625529999612,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.5382042527198792,0.5461463307407329,0.9119318181818181,0.5,0.9318181818181818,0.7159090909090908,0.5,0.5,0.09849621704744031,0.342321962343801,0.15684649992734195,82,6,6,6,shared_site,2026,"[0, 1, 4]",3,2,300,100,100,10,20,0.9327651515151515,0.599812030075188,0.9327651515151515,0.6875,521377,71.13565480000398,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.593951016664505,0.5384859067726117,0.9138257575757576,0.8333333333333334,0.8636363636363636,0.8484848484848485,0.45454545454545453,0.5882352941176471,0.22200766935198932,0.6364616395725341,0.3760177797079086,76,12,2,10,joint_4ch,2026,"[0, 1, 2]",4,3,300,100,100,5,15,0.9393939393939394,0.6186677457468533,0.9393939393939394,0.6875,522433,23.723813900003734,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.5340377688407898,0.5208412323543903,0.9034090909090909,0.9166666666666666,0.75,0.8333333333333333,0.3333333333333333,0.4888888888888889,0.207433213263458,0.6040950811677123,0.3523730072379112,66,22,1,11,shared_site,2026,"[0, 1, 2]",4,3,300,100,100,3,13,0.9346590909090909,0.59887352350167,0.9346590909090909,0.6857142857142857,521377,46.602871900002356,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.5828699469566345,0.5618405315538173,0.9251893939393939,1.0,0.8636363636363636,0.9318181818181819,0.5,0.6666666666666666,0.14849478119827256,0.466982984033946,0.2663475773110986,76,12,0,12,joint_4ch,2026,"[1, 2, 3]",0,4,300,100,100,10,20,0.9138257575757576,0.6610253732622154,0.9138257575757576,0.5945945945945946,522433,31.461543600002187,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.5245560854673386,0.5938917045598081,0.9261363636363635,0.75,0.9204545454545454,0.8352272727272727,0.5625,0.6428571428571429,0.09106964810807529,0.30519264727156703,0.1325171237811446,81,7,3,9,shared_site,2026,"[1, 2, 3]",0,4,300,100,100,20,30,0.9270833333333333,0.6023373345064522,0.9270833333333333,0.6428571428571429,521377,107.90820330000133,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
