Method,Patients,HFrEF,AUROC,AUPRC,F1,Sensitivity,Specificity,Balanced_Accuracy,Threshold,TP,FN,FP,TN,Ties,Split
0-5s only,100,12,0.884469696969697,0.477588546793474,0.6060606060606061,0.8333333333333334,0.875,0.8541666666666667,0.41620755195617676,10,2,11,77,,Validation
5-10s only,100,12,0.912878787878788,0.5216912473491421,0.5882352941176471,0.8333333333333334,0.8636363636363636,0.8484848484848485,0.41620755195617676,10,2,12,76,,Validation
10-15s only,100,12,0.9176136363636365,0.640546218487395,0.6060606060606061,0.8333333333333334,0.875,0.8541666666666667,0.41620755195617676,10,2,11,77,,Validation
15-20s only,100,12,0.9147727272727273,0.5448126629705577,0.6060606060606061,0.8333333333333334,0.875,0.8541666666666667,0.41620755195617676,10,2,11,77,,Validation
20-25s only,100,12,0.9232954545454546,0.49515280110388804,0.5945945945945946,0.9166666666666666,0.8409090909090909,0.8787878787878788,0.41620755195617676,11,1,14,74,,Validation
25-30s only,100,12,0.9251893939393939,0.5171153649030327,0.625,0.8333333333333334,0.8863636363636364,0.8598484848484849,0.41620755195617676,10,2,10,78,,Validation
Mean of 2 windows (10s),100,12,0.9090909090909091,0.5000511063011063,0.6060606060606061,0.8333333333333334,0.875,0.8541666666666667,0.39662402868270874,10,2,11,77,,Validation
Mean of 6 windows (30s),100,12,0.9251893939393939,0.5666353734107014,0.6206896551724138,0.75,0.9090909090909091,0.8295454545454546,0.546824038028717,9,3,8,80,,Validation
Majority vote (30s; mean breaks ties),100,12,0.9015151515151515,0.5152083333333333,0.625,0.8333333333333334,0.8863636363636364,0.8598484848484849,0.5,10,2,10,78,2.0,Validation
0-5s only,120,5,0.92,0.466031746031746,0.2857142857142857,0.8,0.8347826086956521,0.817391304347826,0.41620755195617676,4,1,19,96,,Test
5-10s only,120,5,0.9356521739130436,0.43125,0.4,0.8,0.9043478260869565,0.8521739130434782,0.41620755195617676,4,1,11,104,,Test
10-15s only,120,5,0.9669565217391305,0.730952380952381,0.38095238095238093,0.8,0.8956521739130435,0.8478260869565217,0.41620755195617676,4,1,12,103,,Test
15-20s only,120,5,0.9634782608695652,0.7203619909502262,0.4166666666666667,1.0,0.8782608695652174,0.9391304347826087,0.41620755195617676,5,0,14,101,,Test
20-25s only,120,5,0.9739130434782608,0.5602564102564103,0.47619047619047616,1.0,0.9043478260869565,0.9521739130434783,0.41620755195617676,5,0,11,104,,Test
25-30s only,120,5,0.9895652173913043,0.8909090909090909,0.5263157894736842,1.0,0.9217391304347826,0.9608695652173913,0.41620755195617676,5,0,9,106,,Test
Mean of 2 windows (10s),120,5,0.9304347826086956,0.49393483709273184,0.36363636363636365,0.8,0.8869565217391304,0.8434782608695652,0.39662402868270874,4,1,13,102,,Test
Mean of 6 windows (30s),120,5,0.9739130434782609,0.7888888888888888,0.6153846153846154,0.8,0.9652173913043478,0.8826086956521739,0.546824038028717,4,1,4,111,,Test
Majority vote (30s; mean breaks ties),120,5,0.9660869565217391,0.41805555555555557,0.47058823529411764,0.8,0.9304347826086956,0.8652173913043478,0.5,4,1,8,107,4.0,Test
Original 30-second model,100,12,0.956439393939394,0.7686080022854072,0.7096774193548387,0.9166666666666666,0.9090909090909091,0.9128787878787878,0.511748731136322,11,1,8,80,,Validation
Original 30-second model,120,5,0.9982608695652174,0.9666666666666667,0.7142857142857143,1.0,0.9652173913043478,0.9826086956521739,0.511748731136322,5,0,4,111,,Test
